name,cost,duration_days,prepayment
Интеграция чат-бота,920000.00,104,424200.00
Проектирование платёжного модуля (MVP),36500.00,4,17400.00
Консультация облачной инфраструктуры с нуля,33000.00,3,9800.00
Настройка системы аутентификации,88500.00,8,36500.00
Миграция микросервисной архитектуры (MVP),154500.00,20,56800.00
Тестирование системы аналитики (Enterprise),381000.00,31,156000.00
Внедрение веб-приложения на основе существующего решения,216500.00,23,82500.00
Тестирование базы данных под ключ,373000.00,34,158100.00
Интеграция системы аутентификации (POC),355500.00,42,172600.00
Разработка облачной инфраструктуры с нуля,773500.00,58,229900.00
Оптимизация облачной инфраструктуры,465000.00,59,192600.00
Проектирование системы аутентификации на основе существующего решения,358500.00,37,161800.00
Оптимизация системы аутентификации на основе существующего решения,488000.00,49,126200.00
Консультация сети доставки контента (POC),28500.00,2,9500.00
Развёртывание системы аналитики (SaaS),566000.00,61,164700.00
Развёртывание DevOps-пайплайна под ключ,260500.00,32,115900.00
Интеграция системы резервного копирования (SaaS),652000.00,69,187100.00
Миграция облачной инфраструктуры (MVP),577500.00,44,234900.00
Внедрение системы аналитики на основе существующего решения,1252000.00,106,580000.00
Сопровождение системы аутентификации под ключ,70000.00,8,30600.00
Разработка платёжного модуля под ключ,1678500.00,144,482100.00
Сопровождение микросервисной архитектуры,98500.00,8,46900.00
Оптимизация системы управления задачами,458000.00,44,210100.00
Оптимизация базы данных с нуля,60000.00,6,17100.00
Проектирование микросервисной архитектуры (SaaS),625000.00,75,175500.00
Сопровождение микросервисной архитектуры (POC),58500.00,5,23000.00
Интеграция CRM-системы (SaaS),318000.00,31,140300.00
Миграция мобильного приложения с нуля,300500.00,28,91800.00
Интеграция микросервисной архитектуры (POC),1197500.00,114,584600.00
Миграция системы резервного копирования (Enterprise),590000.00,73,278000.00
Развёртывание системы управления задачами,382000.00,47,137000.00
Миграция системы управления задачами,129500.00,16,60100.00
Внедрение веб-приложения (SaaS),1323500.00,120,616700.00
Тестирование API-сервиса,41500.00,5,11200.00
Разработка системы управления задачами (MVP),1490500.00,154,727400.00
Проектирование системы управления задачами (MVP),678000.00,49,310600.00
Аудит системы аутентификации с нуля,90500.00,10,26700.00
Интеграция системы резервного копирования (MVP),636500.00,69,210000.00
Сопровождение системы управления задачами,88000.00,11,26600.00
Сопровождение CRM-системы под ключ,115000.00,12,50000.00
Разработка системы резервного копирования (SaaS),1343000.00,171,632300.00
Консультация ERP-системы на основе существующего решения,69500.00,6,23600.00
Внедрение микросервисной архитектуры (SaaS),1335000.00,155,587900.00
Развёртывание базы данных (Enterprise),359000.00,30,132600.00
Консультация системы управления задачами (POC),56500.00,7,18500.00
Проектирование сети доставки контента под ключ,271000.00,20,125200.00
Проектирование сети доставки контента (POC),389000.00,44,134000.00
Развёртывание системы аутентификации (POC),545500.00,51,222900.00
Настройка системы аутентификации (POC),196000.00,24,72800.00
Развёртывание системы резервного копирования на основе существующего решения,312500.00,33,137800.00
Сопровождение системы управления задачами (MVP),54000.00,4,25300.00
Тестирование микросервисной архитектуры на основе существующего решения,282500.00,31,110000.00
Аудит DevOps-пайплайна под ключ,138500.00,18,63900.00
Внедрение системы аутентификации,1043500.00,73,351200.00
Разработка базы данных (Enterprise),1917500.00,234,484300.00
Настройка ERP-системы на основе существующего решения,79000.00,9,34400.00
Разработка облачной инфраструктуры (POC),1432500.00,119,610200.00
Сопровождение сети доставки контента с нуля,121000.00,15,38400.00
Проектирование CRM-системы (SaaS),91500.00,11,23100.00
Сопровождение микросервисной архитектуры под ключ,97000.00,11,29700.00
Тестирование CRM-системы под ключ,82500.00,8,31700.00
Внедрение системы резервного копирования с нуля,1247000.00,144,427100.00
Консультация API-сервиса,12000.00,1,5800.00
Развёртывание API-сервиса под ключ,332000.00,31,104300.00
Оптимизация мобильного приложения под ключ,170000.00,12,53500.00
Сопровождение нагрузочного тестирования,132000.00,12,40300.00
Развёртывание системы резервного копирования с нуля,599500.00,52,276500.00
Тестирование чат-бота под ключ,55500.00,7,24200.00
Сопровождение системы мониторинга с нуля,140000.00,13,67900.00
Развёртывание облачной инфраструктуры (POC),560000.00,61,141900.00
Аудит системы аналитики (POC),95000.00,8,26600.00
Аудит API-сервиса,56500.00,4,14300.00
Консультация ERP-системы,73500.00,9,23800.00
Сопровождение панели администратора (POC),129000.00,10,36600.00
Миграция системы управления задачами,213500.00,15,58100.00
Интеграция DevOps-пайплайна под ключ,574500.00,59,245900.00
Развёртывание облачной инфраструктуры (POC),532000.00,64,205500.00
Настройка системы аутентификации (POC),18000.00,1,8200.00
Разработка DevOps-пайплайна с нуля,515000.00,41,254700.00
Оптимизация ERP-системы на основе существующего решения,122000.00,15,35500.00
Развёртывание системы аналитики (SaaS),66000.00,5,22800.00
Разработка базы данных на основе существующего решения,1604000.00,117,750200.00
Внедрение системы резервного копирования (MVP),791000.00,65,377300.00
Тестирование системы резервного копирования на основе существующего решения,304000.00,24,107600.00
Аудит панели администратора под ключ,167500.00,18,56500.00
Внедрение платёжного модуля под ключ,834000.00,108,306900.00
Разработка платёжного модуля (MVP),606000.00,74,201200.00
Оптимизация CRM-системы под ключ,364000.00,29,141400.00
Консультация платёжного модуля (SaaS),79500.00,8,33400.00
Развёртывание системы управления задачами с нуля,226000.00,28,106100.00
Внедрение корпоративного портала (SaaS),911500.00,91,249200.00
Развёртывание системы управления задачами (POC),505500.00,45,217600.00
Оптимизация платёжного модуля под ключ,119000.00,15,35900.00
Интеграция мобильного приложения,284000.00,34,99000.00
Интеграция сети доставки контента с нуля,905500.00,79,436300.00
Сопровождение системы аналитики,139000.00,12,37100.00
Внедрение базы данных (MVP),965000.00,121,404000.00
Разработка платёжного модуля (MVP),1027000.00,112,291600.00
Настройка системы резервного копирования под ключ,144000.00,17,50200.00
Сопровождение микросервисной архитектуры (Enterprise),96500.00,10,25000.00
Интеграция мобильного приложения с нуля,458500.00,37,169300.00
Внедрение системы аналитики (SaaS),127000.00,13,62700.00
Внедрение корпоративного портала (POC),775000.00,97,263200.00
Оптимизация базы данных (Enterprise),331500.00,35,149100.00
Развёртывание базы данных (Enterprise),442500.00,47,195900.00
Настройка системы аутентификации под ключ,174500.00,22,63900.00
Оптимизация ERP-системы на основе существующего решения,275000.00,25,82900.00
Оптимизация базы данных (POC),238000.00,25,101400.00
Сопровождение нагрузочного тестирования (Enterprise),89500.00,10,32300.00
Сопровождение системы управления задачами с нуля,134000.00,15,47000.00
Развёртывание нагрузочного тестирования (SaaS),515000.00,60,165000.00
Сопровождение платёжного модуля на основе существующего решения,117500.00,11,48500.00
Развёртывание DevOps-пайплайна (Enterprise),339500.00,27,155400.00
Миграция системы управления задачами под ключ,457500.00,59,146800.00
Проектирование панели администратора (SaaS),783500.00,88,320500.00
Сопровождение веб-приложения с нуля,136500.00,12,57700.00
Аудит чат-бота под ключ,122000.00,15,57900.00
Развёртывание системы аутентификации (MVP),531000.00,42,252500.00
Сопровождение базы данных,118500.00,11,44700.00
Консультация ERP-системы с нуля,70500.00,9,25300.00
Интеграция системы аутентификации (Enterprise),854000.00,64,368400.00
Настройка системы резервного копирования (Enterprise),25000.00,3,7400.00
Консультация нагрузочного тестирования под ключ,49500.00,4,24700.00
Миграция облачной инфраструктуры (Enterprise),651000.00,78,281600.00
Консультация панели администратора под ключ,8000.00,1,3800.00
Аудит мобильного приложения (POC),156500.00,19,59700.00
Интеграция платёжного модуля,920500.00,95,440600.00
Оптимизация панели администратора (SaaS),471000.00,59,125900.00
Консультация системы резервного копирования (SaaS),39000.00,3,18700.00
Разработка корпоративного портала под ключ,1134500.00,95,285200.00
Разработка ERP-системы под ключ,1792000.00,164,660900.00
Разработка чат-бота с нуля,1390000.00,121,349200.00
Настройка ERP-системы (POC),187000.00,19,59800.00
Проектирование системы мониторинга (MVP),556000.00,55,216800.00
Проектирование облачной инфраструктуры (POC),592500.00,53,173400.00
Консультация системы управления задачами,10000.00,1,4400.00
Консультация DevOps-пайплайна (SaaS),30000.00,2,11900.00
Разработка системы мониторинга (Enterprise),1610500.00,162,708900.00
Настройка мобильного приложения (POC),186000.00,17,90500.00
Развёртывание системы аналитики (Enterprise),234500.00,20,99700.00
Консультация веб-приложения (POC),35000.00,4,16100.00
Аудит базы данных,203500.00,17,93700.00
Оптимизация облачной инфраструктуры (POC),432000.00,36,116900.00
Внедрение ERP-системы (Enterprise),872500.00,95,231000.00
Миграция мобильного приложения (MVP),604000.00,70,283100.00
Разработка DevOps-пайплайна (SaaS),256500.00,22,76100.00
Аудит системы резервного копирования с нуля,83000.00,8,37400.00
Тестирование веб-приложения,102000.00,9,41000.00
Тестирование панели администратора на основе существующего решения,385500.00,45,128900.00
Внедрение сети доставки контента на основе существующего решения,1142000.00,90,552700.00
Консультация системы аналитики,72500.00,8,27400.00
Интеграция CRM-системы с нуля,701500.00,68,234500.00
Разработка ERP-системы (MVP),258500.00,32,101200.00
Сопровождение чат-бота (MVP),28500.00,4,9900.00
Консультация базы данных с нуля,32500.00,2,10800.00
Сопровождение облачной инфраструктуры с нуля,13500.00,1,5400.00
Миграция системы управления задачами с нуля,470500.00,37,161700.00
Оптимизация панели администратора под ключ,175500.00,18,44400.00
Внедрение системы резервного копирования (Enterprise),986500.00,79,485700.00
Сопровождение панели администратора (MVP),109500.00,9,38000.00
Настройка мобильного приложения под ключ,115500.00,10,44900.00
Оптимизация системы резервного копирования (POC),480000.00,62,123500.00
Проектирование микросервисной архитектуры под ключ,550000.00,52,163700.00
Тестирование нагрузочного тестирования (Enterprise),279500.00,27,138500.00
Интеграция облачной инфраструктуры (MVP),593000.00,59,244200.00
Консультация системы мониторинга (POC),60000.00,5,23000.00
Внедрение облачной инфраструктуры,249000.00,18,107900.00
Внедрение веб-приложения с нуля,1470500.00,160,579700.00
Проектирование системы управления задачами с нуля,268000.00,21,123200.00
Миграция панели администратора (SaaS),128000.00,15,34200.00
Миграция панели администратора (Enterprise),843000.00,95,378800.00
Тестирование микросервисной архитектуры (Enterprise),267000.00,27,89500.00
Разработка веб-приложения с нуля,305500.00,23,102200.00
Консультация CRM-системы на основе существующего решения,15000.00,2,6700.00
Внедрение микросервисной архитектуры (SaaS),1320000.00,126,595300.00
Проектирование системы управления задачами (SaaS),548000.00,45,265200.00
Аудит ERP-системы (MVP),61000.00,6,28800.00
Миграция облачной инфраструктуры (POC),76500.00,8,19800.00
Проектирование микросервисной архитектуры (MVP),490500.00,46,215500.00
Сопровождение системы управления задачами (Enterprise),101500.00,11,47500.00
Развёртывание корпоративного портала под ключ,399500.00,30,113500.00
Разработка базы данных (POC),360500.00,38,119700.00
Внедрение корпоративного портала (POC),621000.00,47,300100.00
Миграция базы данных под ключ,41500.00,4,18500.00
Проектирование веб-приложения (MVP),183500.00,17,75700.00
Разработка корпоративного портала (POC),1423000.00,154,554400.00
Проектирование системы аналитики с нуля,219500.00,22,61900.00
Разработка корпоративного портала (MVP),1622500.00,186,593700.00
Оптимизация панели администратора (SaaS),292000.00,28,140900.00
Развёртывание системы мониторинга с нуля,121000.00,10,35200.00
Внедрение веб-приложения (SaaS),388500.00,47,128300.00
Внедрение мобильного приложения (Enterprise),920000.00,114,383100.00
Сопровождение базы данных под ключ,104500.00,12,49200.00
Разработка API-сервиса,926500.00,116,376500.00
Разработка корпоративного портала,1830500.00,207,884600.00
Оптимизация DevOps-пайплайна,454000.00,35,218200.00
Проектирование системы резервного копирования (Enterprise),702000.00,80,243800.00
Сопровождение облачной инфраструктуры с нуля,112500.00,11,56200.00
Настройка микросервисной архитектуры (Enterprise),106000.00,8,31700.00
Тестирование системы управления задачами под ключ,249500.00,27,123400.00
Консультация системы мониторинга,61000.00,7,20000.00
Интеграция DevOps-пайплайна (MVP),769500.00,81,297600.00
Развёртывание API-сервиса (Enterprise),339500.00,41,99800.00
Оптимизация платёжного модуля под ключ,36000.00,4,11900.00
Оптимизация системы резервного копирования (MVP),95500.00,7,31400.00
Интеграция панели администратора с нуля,188500.00,13,91400.00
Разработка API-сервиса,1776500.00,190,769500.00
Интеграция системы управления задачами на основе существующего решения,657500.00,85,257900.00
Настройка CRM-системы на основе существующего решения,48500.00,6,15600.00
Развёртывание ERP-системы на основе существующего решения,204000.00,21,100000.00
Внедрение нагрузочного тестирования,201500.00,24,91700.00
Оптимизация системы мониторинга (MVP),154000.00,16,40700.00
Оптимизация API-сервиса с нуля,257500.00,23,79900.00
Тестирование DevOps-пайплайна с нуля,92500.00,11,33000.00
Интеграция системы аналитики под ключ,1018000.00,120,495800.00
Внедрение API-сервиса на основе существующего решения,782000.00,75,218800.00
Внедрение CRM-системы (Enterprise),1087500.00,90,486900.00
Тестирование базы данных (MVP),91000.00,7,36400.00
Оптимизация системы управления задачами (Enterprise),419000.00,32,152700.00
Интеграция мобильного приложения (POC),806000.00,101,245300.00
Аудит микросервисной архитектуры (POC),93000.00,9,37700.00
Сопровождение веб-приложения,145000.00,15,65300.00
Оптимизация нагрузочного тестирования (POC),222500.00,21,96200.00
Интеграция DevOps-пайплайна под ключ,563500.00,44,222400.00
Проектирование платёжного модуля (Enterprise),325000.00,34,93800.00
Разработка мобильного приложения (MVP),444500.00,32,180000.00
Разработка сети доставки контента (Enterprise),1546000.00,133,616700.00
Миграция системы резервного копирования (POC),75500.00,6,23800.00
Тестирование системы резервного копирования (SaaS),71000.00,8,24000.00
Разработка мобильного приложения (MVP),741000.00,86,231600.00
Настройка системы аналитики (SaaS),128000.00,12,50000.00
Консультация чат-бота под ключ,27500.00,3,8100.00
Интеграция системы резервного копирования (POC),1160000.00,96,370900.00
Разработка CRM-системы (POC),1212500.00,124,390700.00
Проектирование платёжного модуля (SaaS),760500.00,56,198800.00
Тестирование CRM-системы (MVP),294000.00,29,112600.00
Настройка CRM-системы на основе существующего решения,50000.00,6,20900.00
Развёртывание базы данных на основе существующего решения,198000.00,21,77900.00
Оптимизация облачной инфраструктуры (SaaS),111500.00,12,32200.00
Оптимизация панели администратора (POC),251000.00,20,86600.00
Развёртывание системы мониторинга (SaaS),306000.00,34,130700.00
Оптимизация платёжного модуля (Enterprise),391000.00,43,175200.00
Интеграция сети доставки контента (MVP),573500.00,51,203400.00
Внедрение микросервисной архитектуры (POC),930000.00,72,349700.00
Тестирование корпоративного портала (POC),247500.00,24,75900.00
Внедрение системы резервного копирования,430000.00,43,119800.00
Развёртывание CRM-системы (MVP),167000.00,17,50200.00
Оптимизация платёжного модуля под ключ,351500.00,28,134500.00
Консультация CRM-системы на основе существующего решения,48500.00,4,16900.00
Интеграция сети доставки контента на основе существующего решения,1032000.00,84,280400.00
Аудит панели администратора под ключ,286000.00,22,105900.00
Тестирование системы аналитики,131000.00,11,63500.00
Аудит микросервисной архитектуры (MVP),262500.00,24,125000.00
Миграция системы аутентификации (SaaS),270000.00,21,73800.00
Тестирование мобильного приложения под ключ,139000.00,13,44000.00
Аудит чат-бота с нуля,225000.00,23,98100.00
Развёртывание системы аналитики (POC),34000.00,3,11700.00
Настройка мобильного приложения под ключ,164500.00,12,50300.00
Интеграция микросервисной архитектуры на основе существующего решения,339500.00,38,131900.00
Тестирование платёжного модуля (SaaS),287000.00,27,83300.00
Внедрение системы аналитики (Enterprise),713500.00,93,353100.00
Тестирование ERP-системы (POC),91500.00,7,24700.00
Проектирование платёжного модуля (SaaS),135500.00,13,51300.00
Внедрение ERP-системы (SaaS),124500.00,12,52600.00
Внедрение API-сервиса под ключ,601000.00,50,207600.00
Тестирование базы данных (POC),267500.00,34,124900.00
Интеграция системы резервного копирования с нуля,290500.00,35,120500.00
Тестирование панели администратора на основе существующего решения,218000.00,19,81700.00
Консультация веб-приложения,52000.00,4,15900.00
Проектирование системы аналитики (Enterprise),621500.00,64,227800.00
Оптимизация микросервисной архитектуры (SaaS),489500.00,52,204600.00
Сопровождение нагрузочного тестирования с нуля,125500.00,14,57200.00
Разработка системы резервного копирования под ключ,1611000.00,180,475100.00
Сопровождение базы данных (SaaS),90000.00,8,28200.00
Миграция системы мониторинга под ключ,214500.00,26,61200.00
Тестирование облачной инфраструктуры на основе существующего решения,209500.00,25,69700.00
Разработка базы данных с нуля,995500.00,122,320600.00
Разработка DevOps-пайплайна (POC),361000.00,29,136500.00
Разработка CRM-системы на основе существующего решения,1112000.00,82,406600.00
Настройка веб-приложения под ключ,114000.00,12,55900.00
Оптимизация базы данных (POC),79500.00,9,30700.00
Настройка нагрузочного тестирования (MVP),36500.00,4,15300.00
Миграция мобильного приложения,800000.00,80,274300.00
Консультация веб-приложения под ключ,55000.00,7,25600.00
Тестирование базы данных с нуля,248500.00,29,76200.00
Настройка платёжного модуля (MVP),104500.00,11,27100.00
Разработка системы управления задачами (SaaS),1660500.00,177,543400.00
Настройка облачной инфраструктуры (MVP),49500.00,4,18600.00
Разработка чат-бота (SaaS),1910000.00,199,884300.00
Проектирование веб-приложения с нуля,245000.00,18,92100.00
Интеграция API-сервиса (SaaS),1126000.00,107,324500.00
Тестирование системы управления задачами (Enterprise),383000.00,36,130400.00
Тестирование ERP-системы (Enterprise),219000.00,22,70900.00
Оптимизация CRM-системы на основе существующего решения,329000.00,34,115900.00
Оптимизация платёжного модуля (SaaS),353000.00,40,117900.00
Сопровождение чат-бота (SaaS),38000.00,4,17700.00
Миграция DevOps-пайплайна (MVP),765500.00,88,359300.00
Миграция микросервисной архитектуры (MVP),466000.00,40,231600.00
Развёртывание чат-бота,112500.00,11,50700.00
Тестирование платёжного модуля (Enterprise),33000.00,3,11600.00
Сопровождение DevOps-пайплайна (Enterprise),148500.00,12,45200.00
Интеграция корпоративного портала на основе существующего решения,761000.00,94,365900.00
Проектирование чат-бота под ключ,131000.00,10,49000.00
Развёртывание сети доставки контента под ключ,381000.00,32,95600.00
Разработка сети доставки контента (SaaS),912000.00,110,354700.00
Внедрение чат-бота под ключ,1370500.00,119,586600.00
Интеграция CRM-системы на основе существующего решения,735000.00,71,188000.00
Сопровождение CRM-системы с нуля,42500.00,5,20300.00
Проектирование облачной инфраструктуры (SaaS),98500.00,10,38500.00
Развёртывание системы мониторинга,31500.00,4,14900.00
Развёртывание системы аутентификации (Enterprise),220000.00,25,108700.00
Проектирование системы аналитики под ключ,109000.00,10,52100.00
Разработка нагрузочного тестирования (SaaS),608500.00,51,188700.00
Аудит ERP-системы (MVP),45000.00,6,12400.00
Сопровождение мобильного приложения,118500.00,14,40000.00
Проектирование API-сервиса (SaaS),339000.00,38,132800.00
Развёртывание сети доставки контента,378500.00,37,122800.00
Тестирование системы аутентификации (Enterprise),27000.00,2,7000.00
Консультация корпоративного портала (SaaS),11500.00,1,4700.00
