name,cost,duration_days,prepayment
Консультация CRM-системы (MVP),14500.00,2,7200.00
Развёртывание мобильного приложения под ключ,84500.00,9,31700.00
Разработка панели администратора с нуля,1857000.00,198,646900.00
Сопровождение системы резервного копирования на основе существующего решения,40000.00,4,14800.00
Настройка системы резервного копирования на основе существующего решения,117500.00,10,45400.00
Разработка веб-приложения (POC),1800500.00,172,630700.00
Настройка CRM-системы (POC),156500.00,18,65200.00
Миграция микросервисной архитектуры с нуля,585000.00,62,197000.00
Настройка системы управления задачами с нуля,164000.00,16,68400.00
Оптимизация API-сервиса под ключ,179500.00,13,61900.00
Аудит системы аутентификации (MVP),84000.00,8,29000.00
Интеграция CRM-системы,452500.00,40,168900.00
Консультация системы управления задачами с нуля,77000.00,10,24800.00
Развёртывание системы управления задачами (MVP),252000.00,22,74400.00
Настройка панели администратора под ключ,90000.00,9,42100.00
Тестирование DevOps-пайплайна (MVP),272000.00,30,135800.00
Оптимизация чат-бота (SaaS),127500.00,16,42900.00
Сопровождение микросервисной архитектуры (SaaS),126000.00,15,33400.00
Проектирование API-сервиса (SaaS),758000.00,80,220100.00
Миграция API-сервиса на основе существующего решения,739500.00,67,298500.00
Развёртывание микросервисной архитектуры (MVP),496000.00,60,165500.00
Развёртывание мобильного приложения с нуля,207500.00,16,96400.00
Тестирование ERP-системы с нуля,296500.00,32,100300.00
Консультация базы данных (SaaS),76500.00,6,21600.00
Проектирование DevOps-пайплайна (Enterprise),792500.00,57,208900.00
Развёртывание DevOps-пайплайна на основе существующего решения,371500.00,37,149200.00
Интеграция микросервисной архитектуры,1130500.00,85,435200.00
Разработка сети доставки контента с нуля,450500.00,42,196000.00
Настройка микросервисной архитектуры (MVP),107000.00,11,51900.00
Разработка системы управления задачами на основе существующего решения,309500.00,38,124200.00
Тестирование CRM-системы,269500.00,30,132500.00
Проектирование системы аутентификации (SaaS),296000.00,23,106500.00
Проектирование нагрузочного тестирования под ключ,556500.00,52,187800.00
Сопровождение DevOps-пайплайна (POC),57000.00,6,21400.00
Аудит системы аутентификации на основе существующего решения,112000.00,9,47200.00
Интеграция системы мониторинга с нуля,327500.00,30,160000.00
Сопровождение панели администратора под ключ,89000.00,10,24700.00
Консультация чат-бота (MVP),57000.00,5,19000.00
Разработка API-сервиса (MVP),1214500.00,123,549000.00
Внедрение CRM-системы,1271000.00,120,620100.00
Настройка API-сервиса под ключ,153500.00,12,53500.00
Сопровождение платёжного модуля (MVP),75500.00,5,35100.00
Развёртывание DevOps-пайплайна (SaaS),49500.00,5,23800.00
Интеграция панели администратора с нуля,439000.00,52,202800.00
Интеграция системы резервного копирования (SaaS),650000.00,50,183200.00
Проектирование платёжного модуля (Enterprise),726500.00,55,223900.00
Консультация нагрузочного тестирования (POC),25000.00,2,7600.00
Тестирование платёжного модуля с нуля,157500.00,15,63400.00
Сопровождение облачной инфраструктуры (SaaS),87000.00,6,21900.00
Развёртывание микросервисной архитектуры (MVP),210500.00,23,89000.00
Проектирование мобильного приложения (Enterprise),100000.00,12,38900.00
Оптимизация ERP-системы (POC),218000.00,23,87800.00
Разработка сети доставки контента,712000.00,59,189200.00
Миграция DevOps-пайплайна на основе существующего решения,274000.00,30,97700.00
Развёртывание платёжного модуля (POC),447500.00,48,182400.00
Миграция сети доставки контента,492500.00,42,141600.00
Интеграция API-сервиса на основе существующего решения,1192500.00,102,337600.00
Консультация облачной инфраструктуры под ключ,18000.00,2,6700.00
Внедрение нагрузочного тестирования с нуля,644500.00,54,207100.00
Развёртывание системы резервного копирования (SaaS),572000.00,59,143400.00
Интеграция облачной инфраструктуры под ключ,1120000.00,137,377300.00
Аудит DevOps-пайплайна на основе существующего решения,85500.00,9,41500.00
Настройка API-сервиса (Enterprise),174500.00,14,45000.00
Разработка системы резервного копирования (MVP),970000.00,77,368000.00
Консультация микросервисной архитектуры (POC),18500.00,2,6600.00
Разработка API-сервиса (POC),854500.00,87,413900.00
Проектирование системы мониторинга (MVP),565000.00,60,191900.00
Настройка микросервисной архитектуры под ключ,187500.00,23,82200.00
Сопровождение платёжного модуля с нуля,41500.00,4,16900.00
Миграция системы резервного копирования,97500.00,12,25800.00
Тестирование мобильного приложения с нуля,331000.00,41,120400.00
Внедрение системы мониторинга (MVP),852500.00,82,228300.00
Разработка микросервисной архитектуры (Enterprise),400000.00,39,134500.00
Тестирование системы аутентификации с нуля,398500.00,40,194800.00
Проектирование мобильного приложения,147000.00,16,39600.00
Развёртывание системы аутентификации под ключ,103000.00,8,41700.00
Тестирование DevOps-пайплайна (POC),349500.00,44,126300.00
Аудит ERP-системы (SaaS),165500.00,14,43700.00
Сопровождение нагрузочного тестирования,90000.00,6,35900.00
Сопровождение веб-приложения (MVP),66500.00,9,16800.00
Консультация системы аутентификации,26500.00,2,7800.00
Оптимизация системы мониторинга,159500.00,20,47800.00
Сопровождение сети доставки контента (MVP),72000.00,7,31000.00
Оптимизация панели администратора под ключ,173500.00,17,54600.00
Аудит сети доставки контента (Enterprise),167000.00,14,58700.00
Миграция панели администратора (POC),480500.00,35,179000.00
Миграция системы аутентификации с нуля,405500.00,32,126800.00
Проектирование чат-бота,410500.00,36,119600.00
Тестирование панели администратора (MVP),99500.00,12,44600.00
Развёртывание платёжного модуля (SaaS),472500.00,42,223600.00
Сопровождение нагрузочного тестирования,58000.00,5,15500.00
Сопровождение системы аналитики под ключ,108500.00,13,28100.00
Аудит микросервисной архитектуры,194000.00,15,79400.00
Оптимизация системы аналитики на основе существующего решения,286500.00,32,101100.00
Внедрение DevOps-пайплайна (MVP),1142500.00,136,444000.00
Консультация корпоративного портала на основе существующего решения,58000.00,7,23200.00
Развёртывание ERP-системы (MVP),141000.00,13,68400.00
Внедрение платёжного модуля (Enterprise),1436500.00,177,438200.00
Развёртывание мобильного приложения,81500.00,10,27000.00
Внедрение CRM-системы (Enterprise),756000.00,96,310300.00
