name,cost,duration_days,prepayment
Консультация системы резервного копирования (MVP),6000.00,1,1700.00
Консультация системы резервного копирования,6500.00,1,3000.00
Консультация системы резервного копирования (POC),10000.00,1,3700.00
Консультация облачной инфраструктуры (MVP),10500.00,1,3300.00
Сопровождение DevOps-пайплайна (SaaS),10500.00,1,3900.00
Сопровождение платёжного модуля (SaaS),11000.00,1,5200.00
Сопровождение веб-приложения (Enterprise),11500.00,1,4300.00
Сопровождение системы резервного копирования (Enterprise),11500.00,1,5400.00
Сопровождение системы резервного копирования (POC),12000.00,1,4400.00
Консультация панели администратора с нуля,12500.00,1,4400.00
Сопровождение ERP-системы (MVP),13000.00,1,3800.00
Настройка чат-бота (Enterprise),13500.00,2,3900.00
Сопровождение системы резервного копирования,14000.00,2,4400.00
Сопровождение чат-бота (SaaS),14500.00,1,3900.00
Консультация корпоративного портала (POC),14500.00,1,4900.00
Сопровождение платёжного модуля с нуля,15000.00,1,5300.00
Настройка DevOps-пайплайна с нуля,15000.00,2,6800.00
Сопровождение веб-приложения (SaaS),16000.00,2,5300.00
Консультация сети доставки контента (SaaS),16500.00,2,4300.00
Настройка платёжного модуля с нуля,16500.00,1,5800.00
Консультация базы данных (POC),17000.00,2,4700.00
Сопровождение системы аналитики,17500.00,2,5300.00
Сопровождение чат-бота (SaaS),17500.00,2,7900.00
Настройка чат-бота с нуля,17500.00,2,8400.00
Сопровождение корпоративного портала,18000.00,2,8700.00
Консультация системы аналитики с нуля,18500.00,2,6000.00
Настройка системы мониторинга,19000.00,1,6800.00
Настройка системы аутентификации (Enterprise),20000.00,2,8000.00
Консультация системы управления задачами под ключ,20500.00,2,8200.00
Аудит панели администратора (SaaS),20500.00,2,9900.00
Сопровождение облачной инфраструктуры на основе существующего решения,21000.00,2,6200.00
Консультация базы данных (MVP),21500.00,3,8200.00
Аудит сети доставки контента на основе существующего решения,22500.00,2,6000.00
Консультация ERP-системы (Enterprise),23500.00,3,6100.00
Консультация сети доставки контента (POC),23500.00,3,8300.00
Настройка CRM-системы под ключ,24000.00,2,6600.00
Тестирование базы данных под ключ,24000.00,3,8000.00
Сопровождение чат-бота с нуля,24000.00,2,8200.00
Тестирование нагрузочного тестирования (SaaS),24000.00,3,11300.00
Тестирование системы аутентификации (MVP),24500.00,2,8800.00
Тестирование мобильного приложения (SaaS),24500.00,3,9400.00
Консультация микросервисной архитектуры под ключ,25000.00,3,7700.00
Настройка корпоративного портала (MVP),25000.00,2,8900.00
Консультация системы аналитики (MVP),25000.00,2,9900.00
Консультация системы аналитики с нуля,25000.00,3,10200.00
Настройка базы данных (SaaS),26000.00,2,10400.00
Консультация системы мониторинга,26500.00,2,8800.00
Аудит системы управления задачами с нуля,26500.00,2,9400.00
Сопровождение DevOps-пайплайна (MVP),26500.00,3,10400.00
Консультация системы резервного копирования,26500.00,3,10700.00
Сопровождение CRM-системы (MVP),26500.00,2,11000.00
Консультация DevOps-пайплайна с нуля,27500.00,3,12400.00
Сопровождение базы данных,28000.00,3,7100.00
Консультация чат-бота под ключ,28500.00,2,7600.00
Настройка корпоративного портала на основе существующего решения,29000.00,2,10500.00
Консультация облачной инфраструктуры (POC),29000.00,3,12500.00
Сопровождение базы данных (Enterprise),29500.00,3,8900.00
Аудит системы аутентификации (Enterprise),30000.00,2,11300.00
Аудит API-сервиса под ключ,30000.00,4,11400.00
Консультация системы мониторинга (MVP),30000.00,4,13600.00
Сопровождение системы резервного копирования (MVP),30000.00,4,13800.00
Консультация нагрузочного тестирования под ключ,30000.00,3,14400.00
Аудит сети доставки контента с нуля,30500.00,4,8000.00
Сопровождение системы мониторинга (MVP),30500.00,4,9300.00
Проектирование базы данных (SaaS),30500.00,3,11600.00
Консультация веб-приложения на основе существующего решения,31500.00,4,8800.00
Оптимизация корпоративного портала с нуля,31500.00,4,10900.00
Тестирование базы данных под ключ,31500.00,4,13300.00
Консультация чат-бота под ключ,32000.00,4,8500.00
Сопровождение CRM-системы (POC),32000.00,3,8700.00
Настройка платёжного модуля с нуля,32000.00,3,11500.00
Тестирование облачной инфраструктуры (MVP),32000.00,3,15700.00
Консультация корпоративного портала на основе существующего решения,33000.00,2,14600.00
Тестирование корпоративного портала (Enterprise),33000.00,3,14600.00
Оптимизация платёжного модуля (MVP),33500.00,4,9800.00
Настройка облачной инфраструктуры с нуля,33500.00,3,14000.00
Аудит мобильного приложения с нуля,33500.00,3,15200.00
Консультация системы управления задачами под ключ,34000.00,4,12000.00
Сопровождение системы мониторинга на основе существующего решения,34500.00,3,11200.00
Сопровождение мобильного приложения (Enterprise),34500.00,4,12000.00
Настройка облачной инфраструктуры под ключ,34500.00,3,14400.00
Сопровождение нагрузочного тестирования (POC),35000.00,3,10500.00
Настройка облачной инфраструктуры с нуля,35000.00,3,13400.00
Тестирование системы аналитики (SaaS),35500.00,4,15100.00
Сопровождение мобильного приложения,36000.00,3,17000.00
Настройка корпоративного портала,36500.00,3,10500.00
Настройка облачной инфраструктуры (Enterprise),37000.00,3,12600.00
Консультация облачной инфраструктуры (MVP),37000.00,3,17900.00
Сопровождение системы управления задачами на основе существующего решения,37500.00,3,13300.00
Консультация системы мониторинга (MVP),37500.00,4,15500.00
Сопровождение системы мониторинга с нуля,38500.00,4,10100.00
Тестирование облачной инфраструктуры (MVP),38500.00,4,13300.00
Консультация облачной инфраструктуры под ключ,38500.00,5,13500.00
Оптимизация чат-бота (POC),38500.00,3,18500.00
Сопровождение системы мониторинга,39000.00,5,10200.00
Консультация сети доставки контента (POC),39000.00,3,14500.00
Аудит сети доставки контента (MVP),39000.00,4,16500.00
Аудит корпоративного портала (MVP),40000.00,4,16300.00
Консультация системы аналитики (MVP),40000.00,3,16600.00
Консультация корпоративного портала (SaaS),40500.00,4,19800.00
Оптимизация системы аутентификации (SaaS),41000.00,4,10700.00
Консультация системы аналитики (Enterprise),41500.00,5,16800.00
Консультация базы данных,42000.00,5,13000.00
Сопровождение мобильного приложения с нуля,42000.00,3,13200.00
Консультация панели администратора (MVP),42000.00,5,15300.00
Тестирование системы резервного копирования (POC),42000.00,4,16400.00
Сопровождение системы аутентификации с нуля,43500.00,4,12700.00
Консультация системы управления задачами под ключ,43500.00,3,13500.00
Сопровождение API-сервиса (POC),44500.00,3,11700.00
Аудит чат-бота (SaaS),44500.00,5,17100.00
Консультация системы мониторинга на основе существующего решения,44500.00,5,20100.00
Развёртывание системы аналитики с нуля,44500.00,5,21200.00
Тестирование чат-бота (Enterprise),45000.00,4,14100.00
Сопровождение ERP-системы (SaaS),45000.00,5,14800.00
Консультация микросервисной архитектуры,45000.00,6,21100.00
Консультация микросервисной архитектуры,46000.00,4,11700.00
Настройка API-сервиса под ключ,46000.00,5,20800.00
Консультация веб-приложения (MVP),46500.00,5,17800.00
Настройка CRM-системы (SaaS),47000.00,6,18600.00
Консультация DevOps-пайплайна с нуля,47500.00,6,13900.00
Тестирование корпоративного портала на основе существующего решения,48000.00,5,16100.00
Консультация системы мониторинга,48500.00,4,13100.00
Тестирование панели администратора (SaaS),49500.00,4,14200.00
Настройка системы управления задачами,49500.00,6,19800.00
Консультация системы мониторинга,50000.00,5,23200.00
Тестирование мобильного приложения (Enterprise),50000.00,6,24100.00
Проектирование веб-приложения на основе существующего решения,50500.00,5,14600.00
Развёртывание веб-приложения (Enterprise),50500.00,7,15200.00
Тестирование системы аутентификации,50500.00,6,22200.00
Миграция API-сервиса (POC),50500.00,6,24300.00
Тестирование системы аутентификации (MVP),51000.00,5,24300.00
Консультация облачной инфраструктуры под ключ,51500.00,7,15800.00
Сопровождение DevOps-пайплайна (POC),51500.00,5,24800.00
Консультация системы резервного копирования (SaaS),52000.00,4,14500.00
Проектирование системы аналитики,52000.00,6,24000.00
Консультация DevOps-пайплайна под ключ,52500.00,4,16400.00
Консультация нагрузочного тестирования (SaaS),53000.00,6,14800.00
Настройка корпоративного портала (SaaS),53500.00,6,26100.00
Настройка системы аналитики (Enterprise),54000.00,4,23000.00
Разработка CRM-системы с нуля,54500.00,4,25200.00
Аудит API-сервиса с нуля,55500.00,7,26800.00
Сопровождение базы данных,56000.00,6,19500.00
Консультация мобильного приложения с нуля,56000.00,5,27700.00
Развёртывание системы аналитики (SaaS),56500.00,6,27900.00
Сопровождение панели администратора на основе существующего решения,57500.00,7,18900.00
Оптимизация мобильного приложения с нуля,58000.00,6,26500.00
Проектирование веб-приложения (Enterprise),58000.00,6,28700.00
Консультация корпоративного портала с нуля,61000.00,5,25200.00
Сопровождение системы аутентификации (POC),62000.00,6,22000.00
Аудит панели администратора на основе существующего решения,62000.00,7,23100.00
Проектирование веб-приложения на основе существующего решения,62500.00,7,22600.00
Сопровождение чат-бота,62500.00,6,29400.00
Консультация API-сервиса на основе существующего решения,63000.00,8,17000.00
Консультация веб-приложения под ключ,63000.00,8,19700.00
Миграция CRM-системы под ключ,63500.00,8,18300.00
Сопровождение сети доставки контента с нуля,64000.00,8,28600.00
Сопровождение нагрузочного тестирования (POC),64000.00,7,29700.00
Оптимизация облачной инфраструктуры,64500.00,5,25100.00
Настройка системы аналитики (Enterprise),64500.00,7,25700.00
Настройка системы аутентификации на основе существующего решения,64500.00,7,26100.00
Тестирование API-сервиса под ключ,66000.00,5,31400.00
Консультация API-сервиса (SaaS),66500.00,6,17800.00
Оптимизация системы аутентификации под ключ,66500.00,8,31800.00
Сопровождение мобильного приложения,67000.00,5,25700.00
Оптимизация мобильного приложения на основе существующего решения,67000.00,7,28300.00
Консультация платёжного модуля (POC),67500.00,5,17600.00
Настройка чат-бота (SaaS),67500.00,7,27600.00
Аудит облачной инфраструктуры под ключ,67500.00,8,31200.00
Консультация базы данных (Enterprise),67500.00,5,32800.00
Аудит нагрузочного тестирования,68000.00,6,32300.00
Миграция микросервисной архитектуры с нуля,68500.00,6,24500.00
Оптимизация веб-приложения с нуля,69000.00,7,24600.00
Тестирование API-сервиса (MVP),69500.00,7,22200.00
Сопровождение DevOps-пайплайна,69500.00,8,27500.00
Миграция микросервисной архитектуры с нуля,70000.00,7,26900.00
Консультация системы мониторинга (Enterprise),70500.00,6,19500.00
Консультация ERP-системы с нуля,71000.00,6,19200.00
Тестирование платёжного модуля (Enterprise),71000.00,7,26700.00
Настройка облачной инфраструктуры с нуля,71000.00,6,28700.00
Развёртывание облачной инфраструктуры с нуля,71000.00,7,34800.00
Оптимизация сети доставки контента (MVP),71500.00,6,31200.00
Разработка микросервисной архитектуры (Enterprise),73000.00,7,19000.00
Консультация микросервисной архитектуры под ключ,73000.00,5,20800.00
Сопровождение мобильного приложения под ключ,73000.00,5,31100.00
Настройка системы мониторинга,73500.00,5,21700.00
Консультация сети доставки контента под ключ,73500.00,5,27600.00
Сопровождение облачной инфраструктуры (MVP),73500.00,8,31500.00
Миграция API-сервиса под ключ,74000.00,9,35900.00
Сопровождение системы мониторинга (POC),74500.00,9,19900.00
Консультация ERP-системы (Enterprise),74500.00,8,34600.00
Консультация базы данных (MVP),75000.00,6,23800.00
Сопровождение API-сервиса,75500.00,8,24800.00
Сопровождение сети доставки контента (POC),75500.00,6,28400.00
Развёртывание базы данных под ключ,76500.00,9,30700.00
Настройка базы данных под ключ,77000.00,10,34600.00
Тестирование сети доставки контента (POC),77500.00,6,31900.00
Настройка системы аутентификации (MVP),77500.00,10,33300.00
Сопровождение панели администратора на основе существующего решения,77500.00,7,35300.00
Тестирование чат-бота с нуля,78000.00,10,28900.00
Тестирование нагрузочного тестирования с нуля,78500.00,6,25500.00
Интеграция чат-бота с нуля,78500.00,10,34200.00
Консультация системы управления задачами под ключ,79000.00,8,24100.00
Настройка системы аутентификации под ключ,79000.00,9,25000.00
Аудит ERP-системы,80000.00,7,21300.00
Тестирование базы данных под ключ,80000.00,7,26300.00
Консультация панели администратора под ключ,80000.00,9,38500.00
Оптимизация корпоративного портала с нуля,81000.00,10,30600.00
Сопровождение корпоративного портала на основе существующего решения,81500.00,10,37200.00
Аудит платёжного модуля (MVP),82000.00,9,23300.00
Настройка системы аналитики (Enterprise),82000.00,6,32800.00
Внедрение системы управления задачами (SaaS),82000.00,6,36900.00
Аудит системы аутентификации,82500.00,6,31900.00
Сопровождение системы аутентификации под ключ,82500.00,8,38200.00
Интеграция системы аутентификации с нуля,83500.00,8,38000.00
Настройка API-сервиса (Enterprise),85500.00,8,42300.00
Настройка системы резервного копирования (Enterprise),86500.00,7,22900.00
Тестирование базы данных с нуля,86500.00,11,37800.00
Сопровождение платёжного модуля на основе существующего решения,87000.00,7,23900.00
Проектирование облачной инфраструктуры (MVP),87000.00,9,32900.00
Настройка базы данных с нуля,87000.00,10,38100.00
Сопровождение системы аутентификации,87500.00,6,28600.00
Интеграция системы аутентификации (MVP),88000.00,8,27000.00
